"Sum Sq","Df","F value","Pr(>F)","trait","term"
0.124004210983415,2,0.16775200983519,0.845680021493723,"height1","type"
75.3995706682436,204,NA,NA,"height1","Residuals"
15.1391947137017,2,4.49133228437717,0.0123356761085323,"leaf1","type"
343.81732702543,204,NA,NA,"leaf1","Residuals"
77.5239932216919,2,0.804709944635526,0.448697071078819,"chloro1","type"
9392.93641081872,195,NA,NA,"chloro1","Residuals"
8.41998556536154,2,5.00224075837661,0.00757513972090907,"height2","type"
170.849140648231,203,NA,NA,"height2","Residuals"
10.8902335235822,2,1.22312542272338,0.296468453222333,"leaf2","type"
903.716562592929,203,NA,NA,"leaf2","Residuals"
89.6659025504941,2,3.35273939966862,0.0369559657229598,"chloro2","type"
2687.77919548872,201,NA,NA,"chloro2","Residuals"
12.3703860226509,2,4.76012257990398,0.00954369524114336,"height3","type"
263.773497472495,203,NA,NA,"height3","Residuals"
692.553446847336,2,7.15551082055572,0.000993230078554179,"leaf3","type"
9823.78150460896,203,NA,NA,"leaf3","Residuals"
826.604185888087,2,12.1038170315003,1.08456432396938e-05,"chloro3","type"
6897.57805801435,202,NA,NA,"chloro3","Residuals"
83.7250207108196,2,10.7564220408016,3.62966810301736e-05,"height4","type"
790.047988997919,203,NA,NA,"height4","Residuals"
11212.8258016277,2,12.7136514818545,6.2794935899476e-06,"leaf4","type"
89518.0916741005,203,NA,NA,"leaf4","Residuals"
3444.3032263829,2,16.5461605218009,2.21516201622757e-07,"chloro4","type"
21024.4923833732,202,NA,NA,"chloro4","Residuals"
8758.35446230603,2,14.2592486957093,1.61140435169751e-06,"total_nod","type"
62036.4943181818,202,NA,NA,"total_nod","Residuals"
227046.711876473,2,10.7752269109095,3.57731491442367e-05,"shoot_mass","type"
2128188.8622045,202,NA,NA,"shoot_mass","Residuals"
15668.3052909417,2,4.96531654136078,0.00785092868683243,"root_mass","type"
318710.56380857,202,NA,NA,"root_mass","Residuals"
16.9186662486615,2,14.0392431752061,1.95438961707235e-06,"ratio","type"
121.714915098315,202,NA,NA,"ratio","Residuals"
