"ASV","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ASV1 (Rhizobiaceae; Sinorhizobium)",2154.73446274996,-0.187114031435396,0.576892849602825,0.647884581127128,0.647884581127128
"ASV4 (Comamonadaceae; NA)",85.4313516021695,-2.15696135306035,0.85401026298579,0.000919557911374159,0.00393676280077281
"ASV5 (Pseudomonadaceae; Pseudomonas)",59.331936821928,-1.7311246212301,0.952395190989707,0.000502497596589252,0.00260160248831451
"ASV6 (Rhizobiaceae; NA)",39.2006022594623,-4.69607470326026,0.654388912947177,9.68629868912164e-13,3.51935519038086e-11
"ASV7 (Comamonadaceae; Candidatus Symbiobacter)",27.9275482807591,-1.8459679530079,0.806627457854991,0.00293202237146199,0.0106530146163119
"ASV8 (Methylophilaceae; Methylotenera)",27.8042636070597,-4.99340325452974,0.545554847937242,4.96008218490938e-18,5.40648958155123e-16
"ASV9 (Rhizobiaceae; NA)",23.3095698128483,-3.00046250376252,0.687558777857781,2.14415168176383e-06,1.91426362107534e-05
"ASV10 (Comamonadaceae; Azohydromonas)",22.5205896614864,-2.36328389238716,0.876590537736038,NA,NA
"ASV11 (Azospirillaceae; Azospirillum)",21.823254058528,-4.64158739278085,0.613657659671701,1.82302096414432e-13,9.93546425458653e-12
"ASV13 (Rhizobiaceae; NA)",18.0790412920172,-1.82306747446527,0.775388421880189,NA,NA
"ASV14 (Sphingomonadaceae; Novosphingobium)",14.3117653828338,-3.40537965965605,0.586497606682316,2.40403140633411e-09,5.24078846580836e-08
"ASV15 (Azospirillaceae; Azospirillum)",12.7543570370127,-1.6597452698895,0.724650365967831,0.00359340528175347,0.0122400367409727
"ASV16 (Caulobacteraceae; Phenylobacterium)",11.5745174162781,-3.5454195724951,0.546614865687747,2.70290252650974e-11,7.36540938473904e-10
"ASV17 (Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium)",10.7436526811344,-2.03558382993061,0.748720085010096,0.000939044337799018,0.00393676280077281
"ASV18 (Sphingomonadaceae; NA)",10.4190345331386,-1.47611745427154,0.728812179191138,0.00798704732178312,0.0225418006570107
"ASV19 (Sphingomonadaceae; Sphingopyxis)",9.25026260373253,-3.05241456225015,0.558261388282154,9.15180624842873e-09,1.66257813513122e-07
"ASV20 (Sphingomonadaceae; Novosphingobium)",9.17918303654672,-2.37910161395083,0.601811810756491,1.23685757150229e-05,9.62981966383923e-05
"ASV21 (Devosiaceae; Devosia)",9.00769550337773,-2.59858716272422,0.597486683389687,2.28306670403481e-06,1.91426362107534e-05
"ASV22 (Rhodocyclaceae; Dechloromonas)",8.85692584983835,-2.88356886422073,0.578765061281293,1.34389326505654e-07,1.62760406545737e-06
"ASV23 (Rhizobiaceae; Aminobacter)",8.28027859074597,-1.70664756968004,0.585978649546412,0.000658015398192422,0.0031184208001293
"ASV24 (Comamonadaceae; Pseudacidovorax)",8.07916682762846,-2.02208797064589,0.56866858445596,6.0710378116049e-05,0.000394463924867501
"ASV25 (Enterobacteriaceae; NA)",5.84313636251472,2.49712160159183,0.536990355033584,4.78704410730208e-07,4.74352552450843e-06
"ASV26 (Rhizobiaceae; NA)",7.19553218173276,-1.39157367960598,0.7190332750466,NA,NA
"ASV27 (Xanthobacteraceae; NA)",6.62481919873136,-2.34514461940762,0.499220365536186,3.75778502781924e-07,4.09598568032297e-06
"ASV28 (Bacillaceae; Bacillus)",6.50858131478874,-1.56358469662287,0.637117280790927,0.00268853388099687,0.0101051790699537
"ASV29 (Rhodobacteraceae; NA)",5.33576386971113,-2.78153791004576,0.528306226375103,1.68911476892519e-08,2.63019299732637e-07
"ASV30 (Rhizobiaceae; NA)",5.32643814242482,-1.30620418931158,0.612635637915834,0.00806541491397631,0.0225418006570107
"ASV31 (Rhizobiaceae; NA)",5.23214437903385,-1.84412170036679,0.556139175175942,0.000156871273265746,0.000943399631466138
"ASV32 (Beijerinckiaceae; Bosea)",5.16879432423385,-1.24668587745412,0.625296365402314,0.0117422756194563,0.0319977010630185
"ASV33 (Microscillaceae; Ohtaekwangia)",4.95494497719099,-1.99615113576732,0.564234891603525,6.1521896538968e-05,0.000394463924867501
"ASV34 (Hyphomonadaceae; SWB02)",4.83628354068347,-2.67693702807079,0.520358086795788,2.91168874543482e-08,3.96717591565494e-07
"ASV35 (Beijerinckiaceae; Bosea)",4.93712284360344,-2.300669187157,0.590657025100579,1.44231734824315e-05,0.000104808393972336
"ASV36 (Comamonadaceae; Pseudorhodoferax)",4.3856506470598,-1.29764308854481,0.588428811547806,0.0068281485351761,0.0201153564955188
"ASV37 (Rhodobacteraceae; NA)",4.38162712735917,-1.78448251670742,0.539298778057651,0.000164445807319786,0.000943399631466138
"ASV38 (Rhizobiaceae; NA)",3.90751495231869,-1.08874113371733,0.604460105300554,NA,NA
"ASV39 (Pirellulaceae; Pirellula)",3.51276675419145,-1.45413446931103,0.57974637680064,NA,NA
"ASV40 (Sphingomonadaceae; NA)",3.27627733218697,-1.10877926419833,0.542775264142342,0.012905082206736,0.0334917609651005
"ASV41 (Rubritaleaceae; Luteolibacter)",3.03539733849623,-1.03307510829787,0.547219424561249,0.0201317578583729,0.0466885448204819
"ASV42 (Comamonadaceae; NA)",3.03819774890657,-1.24674416435397,0.542508371740879,0.00574646235019202,0.017399011004748
"ASV43 (Sphingomonadaceae; Sphingosinicella)",2.91693582039976,-1.5156642054041,0.50441320668382,0.000525094080210269,0.00260160248831451
"ASV44 (Holophagaceae; Holophaga)",3.00036283861368,1.00926328727042,0.560885125941201,NA,NA
"ASV45 (Xanthobacteraceae; NA)",2.89188536106527,-1.2883735602323,0.533768435545663,0.00395371123685121,0.0126751330828465
"ASV46 (Schlesneriaceae; Planctopirus)",2.84767345694431,-1.45534742511133,0.516512964489858,0.00102249090324751,0.00412783364644366
"ASV47 (Bacillaceae; NA)",2.83458563185696,-1.25722824202045,0.516165388348673,0.0039029911922919,0.0126751330828465
"ASV48 (Rhizobiaceae; NA)",2.79389313451815,-1.22936076948535,0.485790874282368,0.00310018011752666,0.0109006333164647
"ASV49 (Chitinophagaceae; NA)",2.67532469252825,-1.41583263808784,0.460938525005798,0.000439123195555238,0.00239322141577605
"ASV50 (Devosiaceae; Devosia)",2.60725967900331,-0.92902605081364,0.534470554030957,NA,NA
"ASV51 (Pseudomonadaceae; Pseudomonas)",2.55604809430155,-0.918300654661536,0.53040497673359,NA,NA
"ASV52 (Devosiaceae; Devosia)",2.4793657176936,-0.906209812133897,0.525050208016847,NA,NA
"ASV53 (Micromonosporaceae; NA)",2.45284981739313,0.920853928135091,0.523781997676985,NA,NA
"ASV54 (Microscillaceae; Ohtaekwangia)",2.22203968775146,-1.38690556881422,0.477755381986285,0.000759287473227331,0.00344843060757413
"ASV55 (Sphingomonadaceae; Novosphingobium)",2.24774017608081,-1.10371254997692,0.462722949669863,0.00536425309409672,0.0167058167787584
"ASV56 (Hyphomicrobiaceae; Pedomicrobium)",2.19476710025134,-1.20042487848215,0.443167155504412,0.0017930826588236,0.00698021463613474
"ASV57 (Sphingomonadaceae; Novosphingobium)",2.21457720696464,-0.850471566235158,0.503218981355759,NA,NA
"ASV59 (Sphingomonadaceae; NA)",2.11667615011453,-0.949603170561656,0.448694216224513,0.0134003568627671,0.0339683464660842
"ASV60 (Sphingomonadaceae; Novosphingobium)",2.10540789877944,-0.952971654891828,0.446312268837494,0.0127038573149613,0.0334917609651005
"ASV61 (Caulobacteraceae; Caulobacter)",2.0981924595644,-0.875798253617772,0.472338189860055,0.0276877483595826,0.0628742618998855
"ASV62 (Comamonadaceae; NA)",2.03925832581926,-0.926556836891807,0.44265476712222,0.0146282320097805,0.0354328286459127
"ASV64 (Rhizobiales Incertae Sedis; Nordella)",1.94898283803641,-0.83296948179288,0.456449126429426,0.0311947073630661,0.0680044620514842
"ASV65 (Xanthomonadaceae; Pseudoxanthomonas)",1.95254789876696,-0.843224523643162,0.453227102967677,0.0283938233596706,0.0631617703306958
"ASV66 (Dongiaceae; Dongia)",1.83349881537535,-0.910866512318874,0.430707085978897,0.0140487512254944,0.0348025882631565
"ASV67 (Comamonadaceae; NA)",1.89733184249966,-0.760126039413828,0.47140625578828,NA,NA
"ASV68 (Xanthobacteraceae; NA)",1.87563657687322,-0.912547869188684,0.462471155631936,0.0197116908062802,0.0466885448204819
"ASV69 (Flavobacteriaceae; Flavobacterium)",1.84331235981845,-0.792185509087924,0.446522460776923,0.0369852754689013,0.0790469612962793
"ASV70 (Pseudomonadaceae; Pseudomonas)",1.85815517315,-0.747633504080823,0.466862161864106,NA,NA
"ASV71 (Rhizobiaceae; NA)",1.77250004684973,-0.768033341861023,0.435690260239898,0.0394610720948483,0.0827164780449705
"ASV72 (Micromonosporaceae; NA)",1.75463327027192,-0.710652400456826,0.455183741629548,NA,NA
"ASV73 (Rhizobiaceae; Mesorhizobium)",1.73331761005363,-0.701275053738817,0.452496612927115,NA,NA
"ASV74 (Reyranellaceae; Reyranella)",1.71770337210791,-0.730806407408761,0.435331539116934,0.0494522363166696,0.0998202547873515
"ASV75 (Pseudomonadaceae; Pseudomonas)",1.74910940422007,-0.705620411073494,0.453886448004631,NA,NA
"ASV76 (Streptococcaceae; Lactococcus)",1.75330469869134,0.727785485632993,0.455612164826211,NA,NA
"ASV78 (Sphingobacteriaceae; Pedobacter)",1.68037918623526,-0.675486696278314,0.445562282393703,NA,NA
"ASV79 (Rhizobiaceae; NA)",1.63698865498238,-0.65456215624555,0.439859074194526,NA,NA
"ASV81 (Caulobacteraceae; Asticcacaulis)",1.55341202462029,-0.461302609391073,0.387609599625681,0.175711771851522,0.269754691997406
"ASV82 (Xanthobacteraceae; Pseudorhodoplanes)",1.52566531897453,-0.720226691529785,0.408888680524445,0.0415452170242782,0.0854420501065345
"ASV83 (Beijerinckiaceae; Bosea)",1.56826569368901,-0.618674202924826,0.430555606870237,NA,NA
"ASV84 (Burkholderiaceae; Limnobacter)",1.54147666808907,-0.604664506272016,0.426944501217648,0.0981292569515425,0.187650684345932
"ASV85 (Comamonadaceae; NA)",1.54147666808907,-0.604664506272016,0.426944501217648,0.0981292569515425,0.187650684345932
"ASV87 (Xanthobacteraceae; NA)",1.50363454236145,-0.579303149343817,0.421452946742933,0.109798818073821,0.189969383651531
"ASV88 (Rhizobiaceae; NA)",1.51021511456565,-0.582682089565397,0.422132850871818,0.108978638725512,0.189969383651531
